word,similarity,功能,过程,领域
遵守,0.3077,规范,守法,政治
遵纪守法,0.3457,规范,守法,政治
遵法,0.3776,规范,守法,社会
尊重人权,0.2648,合法性,守法,社会
尊法,0.4669,合法性,守法,社会
尊崇,0.2961,规范,守法,社会
最高人民检察院,0.28,规范,司法,社会
最高人民法院,0.2987,规范,司法,经济
最高检,0.2732,规范,司法,政治
最大公约数,0.2027,秩序,守法,社会
组织法,0.2593,合法性,立法,经济
综治,0.2267,规范,司法,社会
综合治理,0.2108,规范,执法,环保
自治,0.2877,合法性,立法,社会
自由贸易,0.1917,秩序,立法,国际
自律,0.302,规范,守法,政治
自觉遵守,0.3651,规范,守法,社会
资本主义,0.1373,秩序,立法,经济
准绳,0.3947,合法性,守法,政治
转型期,0.1981,秩序,守法,社会
专业化,0.2919,规范,司法,科技
专项斗争,0.2196,秩序,司法,社会
主权,0.2063,合法性,司法,国际
重大意义,0.3085,合法性,立法,政治
中华人民共和国宪法,0.2475,合法性,立法,国际
中华人民共和国,0.1674,秩序,执法,国际
中华民族,0.2478,秩序,守法,政治
中国政府,0.1362,合法性,立法,国际
中国政法大学,0.3712,规范,守法,社会
中国式,0.3112,规范,立法,经济
中国社会科学院,0.2612,规范,司法,经济
中国人民大学,0.2461,规范,司法,科技
中国化,0.2462,规范,守法,政治
中国共产党,0.1412,合法性,司法,政治
中共中央政治局,0.207,规范,司法,经济
中共中央办公厅,0.2432,规范,司法,政治
中共中央,0.1218,规范,立法,经济
中共,0.1465,合法性,立法,经济
智能化,0.1226,规范,执法,科技
秩序,0.2826,秩序,执法,社会
治污,0.1649,秩序,执法,环保
治权,0.2642,合法性,守法,政治
治乱,0.1931,规范,守法,政治
治理者,0.2345,规范,立法,科技
治理体系,0.4188,秩序,立法,社会
治理能力,0.4279,规范,立法,社会
治理,0.2891,秩序,执法,社会
治军,0.302,规范,守法,政治
治疆,0.231,合法性,守法,政治
治国,0.25,规范,立法,政治
治港,0.1864,合法性,守法,政治
治党,0.2712,规范,守法,政治
治本,0.2873,规范,守法,政治
治安,0.2367,秩序,执法,社会
制约,0.2382,规范,司法,科技
制度性,0.2444,规范,司法,经济
制度化,0.3694,规范,立法,政治
制度,0.4397,规范,司法,政治
制定,0.2895,规范,立法,社会
制订,0.1987,规范,立法,环保
制裁,0.1252,合法性,司法,政治
职业化,0.2178,规范,司法,科技
职务犯罪,0.1724,规范,司法,社会
执政,0.2313,合法性,守法,政治
执法者,0.3205,合法性,执法,环保
执法为民,0.3557,规范,司法,政治
执法水平,0.3052,规范,执法,社会
执法人员,0.2343,规范,执法,环保
执法权,0.2087,合法性,执法,环保
执法检查,0.2888,规范,执法,环保
执法监督,0.3594,规范,执法,环保
执法机关,0.2511,合法性,执法,环保
执法不严,0.2906,规范,守法,环保
执法必严,0.3309,规范,守法,环保
执法,0.342,规范,执法,环保
知识产权,0.2824,规范,司法,科技
知情权,0.2757,合法性,司法,社会
知法犯法,0.2223,合法性,守法,科技
知法,0.4715,合法性,守法,社会
政治责任,0.2908,规范,守法,政治
政治性,0.263,合法性,立法,政治
政治文明,0.324,秩序,立法,政治
政治体制改革,0.2869,合法性,立法,政治
政治素质,0.2293,合法性,守法,政治
政治权利,0.1953,合法性,司法,社会
政治立场,0.2507,合法性,守法,政治
政治,0.292,合法性,执法,政治
政府职能,0.272,规范,执法,经济
政府部门,0.1869,规范,执法,环保
政府,0.1932,合法性,立法,经济
政法系统,0.2899,规范,司法,政治
政法委,0.2979,规范,司法,社会
政法队伍,0.2933,规范,司法,政治
政法,0.3864,规范,司法,政治
政策法规,0.307,规范,立法,社会
政策措施,0.1907,规范,立法,经济
政策,0.2105,规范,执法,经济
正义,0.2872,秩序,司法,社会
正当防卫,0.1969,合法性,司法,社会
整治,0.1954,规范,执法,环保
整顿,0.2684,规范,执法,政治
长治久安,0.3359,秩序,立法,政治
章程,0.2213,规范,立法,政治
冤假错案,0.2596,合法性,司法,政治
预算法,0.2344,规范,立法,环保
舆论监督,0.2844,规范,司法,环保
于法,0.3711,合法性,立法,政治
有法可依,0.3839,规范,立法,环保
有法不依,0.2702,合法性,守法,环保
有法必依,0.4101,合法性,守法,社会
优良传统,0.2043,秩序,守法,政治
用法,0.4915,规范,守法,社会
营商,0.3343,规范,执法,经济
意识,0.2685,规范,守法,政治
义务教育,0.1186,规范,司法,社会
义务,0.2507,规范,执法,社会
以言代法,0.2962,合法性,守法,政治
以良法,0.49,规范,立法,社会
以法,0.4541,合法性,守法,政治
以案释法,0.3836,合法性,司法,环保
依宪治国,0.4356,合法性,守法,政治
依靠人民,0.2447,合法性,守法,社会
依规,0.3579,规范,守法,政治
依法治理,0.4874,规范,守法,社会
依法治国,0.6056,规范,守法,政治
依法严惩,0.308,秩序,司法,社会
依法行政,0.5396,规范,守法,社会
依法打击,0.3577,秩序,司法,社会
依法处理,0.2251,合法性,执法,社会
依法惩治,0.3575,秩序,司法,社会
依法办事,0.5447,合法性,守法,政治
医疗纠纷,0.1485,规范,司法,社会
医患,0.1293,规范,司法,社会
严厉打击,0.2977,规范,执法,社会
严厉,0.2207,规范,执法,环保
严格遵守,0.2372,规范,守法,政治
严格执行,0.2192,规范,执法,政治
严格执法,0.5012,规范,守法,环保
严打,0.2557,秩序,执法,社会
严惩,0.2863,规范,执法,社会
徇私枉法,0.2855,合法性,守法,政治
学法,0.4462,合法性,守法,社会
宣传教育,0.4085,规范,守法,社会
修正案,0.2213,合法性,立法,社会
修法,0.3157,合法性,立法,经济
修订,0.2574,规范,立法,社会
兴国,0.1693,规范,守法,科技
行政权,0.2915,合法性,立法,政治
行政复议,0.2624,合法性,司法,经济
行政法学,0.3143,合法性,立法,经济
行政,0.2828,规范,执法,社会
行为规范,0.3439,规范,守法,社会
行使职权,0.346,合法性,司法,政治
行使权力,0.3175,合法性,守法,政治
刑事案件,0.2133,规范,司法,社会
刑事,0.2391,合法性,司法,社会
刑法,0.3045,合法性,司法,社会
信息时代,0.2066,规范,守法,社会
信息技术,0.1665,规范,司法,科技
信息化,0.2279,规范,执法,科技
信息安全,0.2073,规范,司法,环保
信访工作,0.2651,规范,司法,政治
信访,0.2076,规范,司法,政治
信法,0.3376,合法性,守法,社会
新疆维吾尔自治区,0.1448,规范,执法,社会
小康社会,0.1964,秩序,司法,经济
小康,0.1429,秩序,守法,经济
香港特区政府,0.1135,秩序,执法,国际
香港特别行政区,0.1432,合法性,立法,国际
香港基本法,0.2611,合法性,立法,国际
宪制,0.249,合法性,立法,政治
宪政,0.2335,合法性,立法,政治
宪法学,0.3312,合法性,立法,国际
宪法,0.4628,合法性,立法,政治
现代化,0.2909,秩序,立法,经济
现代,0.2362,规范,守法,科技
无法,0.1591,合法性,司法,社会
稳定,0.1964,秩序,执法,经济
文明执法,0.4728,规范,执法,政治
文明,0.275,秩序,守法,环保
维稳,0.2646,秩序,执法,政治
维权,0.23,规范,司法,国际
违法者,0.2859,规范,守法,环保
违法行为,0.2657,规范,执法,环保
违法犯罪,0.2874,规范,执法,社会
违法不究,0.2439,规范,守法,环保
违法必究,0.3441,合法性,守法,环保
违法,0.2411,规范,执法,环保
网络平台,0.2034,规范,司法,社会
网络空间,0.3346,秩序,司法,社会
网络安全,0.3289,规范,守法,科技
网格化,0.2234,规范,执法,科技
外资,0.1336,规范,立法,经济
外商投资,0.1807,规范,执法,经济
推进改革,0.3459,规范,立法,政治
土壤污染,0.1263,规范,立法,环保
透明度,0.2517,合法性,执法,国际
条例,0.2991,规范,立法,社会
体制改革,0.3077,规范,执法,科技
体制,0.339,秩序,立法,科技
特权思想,0.2398,规范,守法,政治
特权,0.1826,秩序,守法,政治
贪腐,0.1393,合法性,执法,政治
他律,0.3088,规范,守法,科技
所有制,0.1779,规范,守法,经济
算法,0.1625,规范,司法,科技
司法制度,0.4739,合法性,司法,政治
司法责任制,0.3027,规范,司法,科技
司法为民,0.373,规范,司法,社会
司法厅,0.2656,规范,司法,社会
司法人员,0.3194,合法性,司法,政治
司法权威,0.3212,合法性,司法,社会
司法权,0.333,合法性,司法,政治
司法局,0.2995,合法性,司法,社会
司法解释,0.3023,规范,立法,经济
司法鉴定,0.2188,规范,司法,环保
司法机关,0.2808,规范,司法,社会
司法公正,0.4176,合法性,司法,政治
司法公开,0.3187,规范,司法,社会
司法改革,0.327,合法性,司法,政治
司法腐败,0.2514,规范,司法,政治
司法独立,0.2819,合法性,司法,政治
司法部,0.3295,规范,司法,社会
司法,0.4619,规范,司法,社会
数字化,0.1847,规范,守法,科技
数据安全,0.2328,规范,司法,国际
数据,0.1542,规范,执法,经济
述法,0.2245,合法性,守法,环保
授权,0.2036,合法性,执法,国际
守法,0.5299,规范,守法,社会
释法,0.2725,合法性,司法,社会
适用法律,0.2702,规范,司法,政治
市政府,0.1219,合法性,立法,环保
市民,0.1336,规范,立法,环保
市场主体,0.1862,规范,守法,经济
市场秩序,0.3076,规范,执法,社会
市场竞争,0.1985,规范,守法,经济
市场经济,0.3189,秩序,守法,经济
市场监管,0.2757,规范,执法,环保
市场机制,0.2971,规范,守法,社会
市场化,0.2678,规范,司法,经济
市场,0.1604,规范,执法,经济
食品安全,0.216,规范,执法,环保
施政,0.1894,合法性,立法,经济
省政府,0.1641,规范,立法,经济
生态建设,0.1741,规范,立法,环保
生态环境,0.1985,规范,执法,环保
生态,0.2874,规范,司法,环保
生命财产,0.2076,秩序,执法,社会
生命安全,0.1976,秩序,执法,政治
生产力,0.1857,秩序,司法,科技
生产,0.1271,秩序,执法,环保
